Pressure_psia,Temperature_F,Gas_SG,CO2_fraction,N2_fraction,Viscosity_cp
13053.4,188.3,0.5539,0.0,0.0,0.03959
13053.4,224.3,0.5539,0.0,0.0,0.03784
13053.4,260.3,0.5539,0.0,0.0,0.03639
13053.4,296.3,0.5539,0.0,0.0,0.035189
13053.4,332.3,0.5539,0.0,0.0,0.034197
13053.4,368.3,0.5539,0.0,0.0,0.033381
13053.4,404.3,0.5539,0.0,0.0,0.032713
13053.4,440.3,0.5539,0.0,0.0,0.032171
13053.4,476.3,0.5539,0.0,0.0,0.031736
13053.4,512.3,0.5539,0.0,0.0,0.031392
13053.4,548.3,0.5539,0.0,0.0,0.031127
13053.4,584.3,0.5539,0.0,0.0,0.03093
13053.4,620.3,0.5539,0.0,0.0,0.03079
13053.4,656.3,0.5539,0.0,0.0,0.030701
13778.6,80.3,0.5539,0.0,0.0,0.048874
13778.6,116.3,0.5539,0.0,0.0,0.045685
13778.6,152.3,0.5539,0.0,0.0,0.043047
13778.6,188.3,0.5539,0.0,0.0,0.040857
13778.6,224.3,0.5539,0.0,0.0,0.039034
13778.6,260.3,0.5539,0.0,0.0,0.037516
13778.6,296.3,0.5539,0.0,0.0,0.036252
13778.6,332.3,0.5539,0.0,0.0,0.035201
13778.6,368.3,0.5539,0.0,0.0,0.03433
13778.6,404.3,0.5539,0.0,0.0,0.033611
13778.6,440.3,0.5539,0.0,0.0,0.033022
13778.6,476.3,0.5539,0.0,0.0,0.032543
13778.6,512.3,0.5539,0.0,0.0,0.032159
13778.6,548.3,0.5539,0.0,0.0,0.031857
13778.6,584.3,0.5539,0.0,0.0,0.031624
13778.6,620.3,0.5539,0.0,0.0,0.031453
13778.6,656.3,0.5539,0.0,0.0,0.031334
14503.8,80.3,0.5539,0.0,0.0,0.050366
14503.8,116.3,0.5539,0.0,0.0,0.04709
14503.8,152.3,0.5539,0.0,0.0,0.04437
14503.8,188.3,0.5539,0.0,0.0,0.042103
14503.8,224.3,0.5539,0.0,0.0,0.040209
14503.8,260.3,0.5539,0.0,0.0,0.038625
14503.8,296.3,0.5539,0.0,0.0,0.0373
14503.8,332.3,0.5539,0.0,0.0,0.036192
14503.8,368.3,0.5539,0.0,0.0,0.035267
14503.8,404.3,0.5539,0.0,0.0,0.034499
14503.8,440.3,0.5539,0.0,0.0,0.033864
14503.8,476.3,0.5539,0.0,0.0,0.033343
14503.8,512.3,0.5539,0.0,0.0,0.032919
14503.8,548.3,0.5539,0.0,0.0,0.03258
14503.8,584.3,0.5539,0.0,0.0,0.032314
14503.8,620.3,0.5539,0.0,0.0,0.032111
14503.8,656.3,0.5539,0.0,0.0,0.031962
15954.2,80.3,0.5539,0.0,0.0,0.053287
15954.2,116.3,0.5539,0.0,0.0,0.049841
15954.2,152.3,0.5539,0.0,0.0,0.046961
15954.2,188.3,0.5539,0.0,0.0,0.044546
15954.2,224.3,0.5539,0.0,0.0,0.042514
15954.2,260.3,0.5539,0.0,0.0,0.040802
15954.2,296.3,0.5539,0.0,0.0,0.039357
15954.2,332.3,0.5539,0.0,0.0,0.038138
15954.2,368.3,0.5539,0.0,0.0,0.037111
15954.2,404.3,0.5539,0.0,0.0,0.036248
15954.2,440.3,0.5539,0.0,0.0,0.035524
15954.2,476.3,0.5539,0.0,0.0,0.034921
15954.2,512.3,0.5539,0.0,0.0,0.034421
15954.2,548.3,0.5539,0.0,0.0,0.034011
15954.2,584.3,0.5539,0.0,0.0,0.033679
15954.2,620.3,0.5539,0.0,0.0,0.033414
15954.2,656.3,0.5539,0.0,0.0,0.033209
17404.6,80.3,0.5539,0.0,0.0,0.05614
17404.6,116.3,0.5539,0.0,0.0,0.052528
17404.6,152.3,0.5539,0.0,0.0,0.049494
17404.6,188.3,0.5539,0.0,0.0,0.046934
17404.6,224.3,0.5539,0.0,0.0,0.044769
17404.6,260.3,0.5539,0.0,0.0,0.042932
17404.6,296.3,0.5539,0.0,0.0,0.041372
17404.6,332.3,0.5539,0.0,0.0,0.040047
17404.6,368.3,0.5539,0.0,0.0,0.038921
17404.6,404.3,0.5539,0.0,0.0,0.037966
17404.6,440.3,0.5539,0.0,0.0,0.037157
17404.6,476.3,0.5539,0.0,0.0,0.036474
17404.6,512.3,0.5539,0.0,0.0,0.035901
17404.6,548.3,0.5539,0.0,0.0,0.035423
17404.6,584.3,0.5539,0.0,0.0,0.035027
17404.6,620.3,0.5539,0.0,0.0,0.034703
17404.6,656.3,0.5539,0.0,0.0,0.034443
18854.9,80.3,0.5539,0.0,0.0,0.058941
18854.9,116.3,0.5539,0.0,0.0,0.055167
18854.9,152.3,0.5539,0.0,0.0,0.051981
